table_label,row,column,tex_value,saved_value,passed
tab:reynolds-nodal-refinement,1,1,2,2.0,True
tab:reynolds-nodal-refinement,1,2,65,65.0,True
tab:reynolds-nodal-refinement,1,3,3,3.0,True
tab:reynolds-nodal-refinement,1,4,0.03999,0.0399892294172032,True
tab:reynolds-nodal-refinement,1,5,0.231,0.230769230769231,True
tab:reynolds-nodal-refinement,1,6,$-3.5\cdot 10^{-33}$,-3.46667389989702e-33,True
tab:reynolds-nodal-refinement,2,1,3,3.0,True
tab:reynolds-nodal-refinement,2,2,225,225.0,True
tab:reynolds-nodal-refinement,2,3,4,4.0,True
tab:reynolds-nodal-refinement,2,4,0.04079,0.0407944712949907,True
tab:reynolds-nodal-refinement,2,5,0.311,0.311111111111111,True
tab:reynolds-nodal-refinement,2,6,$-1.7\cdot 10^{-35}$,-1.70493585314289e-35,True
tab:reynolds-nodal-refinement,3,1,4,4.0,True
tab:reynolds-nodal-refinement,3,2,833,833.0,True
tab:reynolds-nodal-refinement,3,3,8,8.0,True
tab:reynolds-nodal-refinement,3,4,0.04181,0.0418111206339182,True
tab:reynolds-nodal-refinement,3,5,0.353,0.352941176470588,True
tab:reynolds-nodal-refinement,3,6,$-9.2\cdot 10^{-36}$,-9.24865626963698e-36,True
tab:reynolds-nodal-refinement,4,1,5,5.0,True
tab:reynolds-nodal-refinement,4,2,3201,3201.0,True
tab:reynolds-nodal-refinement,4,3,13,13.0,True
tab:reynolds-nodal-refinement,4,4,0.04193,0.0419264645118248,True
tab:reynolds-nodal-refinement,4,5,0.383,0.382692908466104,True
tab:reynolds-nodal-refinement,4,6,$-5.4\cdot 10^{-34}$,-5.394144659635e-34,True
tab:reynolds-nodal-refinement,5,1,6,6.0,True
tab:reynolds-nodal-refinement,5,2,12545,12545.0,True
tab:reynolds-nodal-refinement,5,3,22,22.0,True
tab:reynolds-nodal-refinement,5,4,0.04194,0.0419439024847014,True
tab:reynolds-nodal-refinement,5,5,0.398,0.398007174172977,True
tab:reynolds-nodal-refinement,5,6,$-2.1\cdot 10^{-33}$,-2.05231909698765e-33,True
tab:reynolds-convergence,1,1,16,16.0,True
tab:reynolds-convergence,1,2,512,512.0,True
