iteration,cavitated_elements_history
1,0
2,4103
3,3857
4,3709
5,3591
6,3258
7,3261
8,3175
9,3215
10,3202
11,3228
12,3183
13,3193
14,3226
15,3213
16,3156
17,3229
18,3156
19,3238
20,3184
21,3199
22,3232
23,3202
24,3202
25,3202
26,3204
27,3213
28,3222
29,3160
30,3203
31,3196
32,3196
33,3222
34,3201
35,3219
36,3181
37,3174
38,3169
39,3218
40,3191
41,3229
42,3206
43,3188
44,3190
45,3185
46,3229
47,3180
48,3221
49,3183
50,3226
51,3175
52,3237
53,3181
54,3224
55,3197
56,3200
57,3215
58,3205
59,3196
60,3215
61,3172
62,3195
63,3217
64,3168
65,3225
66,3167
67,3240
68,3154
69,3206
70,3217
71,3215
72,3196
73,3216
74,3199
75,3206
76,3220
77,3184
78,3224
79,3186
80,3232
81,3163
82,3236
83,3199
84,3180
85,3230
86,3162
87,3235
88,3167
89,3210
90,3188
91,3231
92,3203
93,3178
94,3216
95,3174
96,3214
97,3205
98,3202
99,3211
100,3189
