nx,nz,elements,tolerance,kkt_tolerance,polish_iterations,exitflag,iterations,seconds,peak_qp,stationarity_qp,min_pressure_qp,min_divergence_qp,complementarity_qp,peak_polished,cavity_polished,stationarity_polished,min_pressure_polished,min_divergence_polished,complementarity_polished,energy_change
128,8,2048,1e-10,1e-10,4,1,13,1.64611825,1.98698721023198,2.58126853225349e-15,4.0623883189423e-08,1.42168355113432e-08,9.33907740658163e-06,1.98695237809711,5.937,2.38697950294409e-15,0,-3.15160695109326e-11,4.48435272818812e-15,-1.29876793408812e-06
128,8,2048,1e-10,1e-12,4,1,13,0.360429958333333,1.98698721023198,2.58126853225349e-15,4.0623883189423e-08,1.42168355113432e-08,9.33907740658163e-06,1.98695237809712,5.937,2.91433543964104e-15,0,-2.57586311920346e-13,4.12098880314816e-15,-1.2987679429699e-06
128,8,2048,1e-10,1e-14,4,1,13,0.37577275,1.98698721023198,2.58126853225349e-15,4.0623883189423e-08,1.42168355113432e-08,9.33907740658163e-06,1.98695237809712,5.937,2.91433543964104e-15,0,-2.37240930456508e-15,4.12098880314816e-15,-1.29876794119355e-06
128,8,2048,1e-12,1e-10,4,1,16,0.434804,1.98695266843726,2.47024622979097e-15,2.85155694508861e-09,1.04318791080496e-10,2.72665442515377e-08,1.98695237809711,5.937,2.38697950294409e-15,0,-3.15160695109326e-11,4.48435272818812e-15,-9.9771693129469e-09
128,8,2048,1e-12,1e-12,4,1,16,0.496945416666667,1.98695266843726,2.47024622979097e-15,2.85155694508861e-09,1.04318791080496e-10,2.72665442515377e-08,1.98695237809712,5.937,2.91433543964104e-15,0,-2.57586311920346e-13,4.12098880314816e-15,-9.9771781947311e-09
128,8,2048,1e-12,1e-14,4,1,16,0.43649525,1.98695266843726,2.47024622979097e-15,2.85155694508861e-09,1.04318791080496e-10,2.72665442515377e-08,1.98695237809712,5.937,2.91433543964104e-15,0,-2.37240930456508e-15,4.12098880314816e-15,-9.97717641837426e-09
256,16,8192,1e-10,1e-10,5,1,13,2.65578325,2.09344183572291,3.10862446895044e-15,6.68753574878878e-08,2.56127986795548e-08,0.000195995696347773,2.09338475687999,5.937,2.22044604925031e-15,0,-5.36419797469989e-11,1.50786932608446e-14,-1.91907204616371e-06
256,16,8192,1e-10,1e-12,5,1,13,2.12745266666667,2.09344183572291,3.10862446895044e-15,6.68753574878878e-08,2.56127986795548e-08,0.000195995696347773,2.09338475687999,5.937,2.66453525910038e-15,0,-3.16783636359711e-13,1.43926914794371e-14,-1.91907205682185e-06
256,16,8192,1e-10,1e-14,5,1,13,2.24509558333333,2.09344183572291,3.10862446895044e-15,6.68753574878878e-08,2.56127986795548e-08,0.000195995696347773,2.09338475688,5.937,2.66453525910038e-15,0,-6.07603464274901e-15,1.47563757320475e-14,-1.91907204261099e-06
256,16,8192,1e-12,1e-10,5,1,16,2.90826095833333,2.09338547232768,2.89734395871911e-15,4.06433739697597e-09,1.57210469184528e-10,5.31802683873705e-07,2.09338475687999,5.937,2.22044604925031e-15,0,-5.36419797469989e-11,1.50786932608446e-14,-1.35381181820549e-08
256,16,8192,1e-12,1e-12,5,1,16,3.00829445833333,2.09338547232768,2.89734395871911e-15,4.06433739697597e-09,1.57210469184528e-10,5.31802683873705e-07,2.09338475687999,5.937,2.66453525910038e-15,0,-3.16783636359711e-13,1.43926914794371e-14,-1.35381288401959e-08
256,16,8192,1e-12,1e-14,5,1,16,3.0364705,2.09338547232768,2.89734395871911e-15,4.06433739697597e-09,1.57210469184528e-10,5.31802683873705e-07,2.09338475688,5.937,2.66453525910038e-15,0,-6.07603464274901e-15,1.47563757320475e-14,-1.35381146293412e-08
