delta,radius,steepness,mesh_nx,mesh_nz,elements,smoothing,iterations,converged,backtracks,pmax,undamped_pmax,peak_difference,cavity,undamped_cavity,cavity_difference,cavity_threshold,central_path_error,relative_residual
1,2,0.5,64,4,512,0.01,16,1,0,3.02979869032002,3.02979869032002,4.44089209850063e-15,0.756,0.756,0,0.01,2.39608192228319e-13,1.23520626440474e-13
1,2,0.5,64,4,512,0.0001,19,1,7,3.01132792322934,3.01132792323621,6.86650736270167e-12,2.253,2.253,0,0.001,5.19471089314801e-13,1.9632132429723e-12
1,2,0.5,64,4,512,1e-06,12,1,0,3.01110942124689,3.01110942124689,8.88178419700125e-16,3.378,3.378,0,0.0001,2.99931058097167e-13,3.33191168827867e-11
1,2,0.5,64,4,512,1e-08,9,1,0,3.0111071331517,3.0111071331517,1.33226762955019e-15,4.128,4.128,0,1e-05,2.63982057268485e-13,2.54943427613114e-12
1,2,0.5,64,4,512,1e-10,9,1,0,3.01110711022764,3.01110711022764,3.99680288865056e-15,4.998,4.998,0,1e-06,1.97182311262858e-13,1.18123876434119e-15
1,2,0.5,64,4,512,1e-12,8,1,0,3.0111071081254,3.0111071081254,4.44089209850063e-16,4.998,4.998,0,1e-07,9.96478213462305e-11,4.23783627088824e-11
1,2,0.5,128,8,2048,0.01,16,1,0,3.54576529257652,3.54576529257652,4.88498130835069e-15,0.753,0.753,0,0.01,1.0715743233204e-09,5.01415291392803e-11
1,2,0.5,128,8,2048,0.0001,20,1,9,3.5260192532592,3.52601925325599,3.20543591669775e-12,2.253,2.253,0,0.001,1.27874790381166e-12,1.04346371308714e-12
1,2,0.5,128,8,2048,1e-06,15,1,0,3.52576630139789,3.52576630139789,3.5527136788005e-15,3.189,3.189,0,0.0001,3.1622742754048e-13,1.98109161416997e-15
1,2,0.5,128,8,2048,1e-08,12,1,0,3.52576350449039,3.52576350449039,1.77635683940025e-15,4.128,4.128,0,1e-05,3.145333535042e-13,8.25028088394898e-16
1,2,0.5,128,8,2048,1e-10,10,1,0,3.52576347640601,3.52576347640601,0,4.812,4.812,0,1e-06,3.43901933474695e-13,8.27159925644853e-16
1,2,0.5,128,8,2048,1e-12,9,1,0,3.52576347391337,3.52576347391337,4.44089209850063e-15,4.812,4.812,0,1e-07,8.21365773784019e-11,6.10235603172389e-11
1,2,0.5,256,16,8192,0.01,16,1,0,3.70262539991969,3.70262539991969,4.88498130835069e-15,0.846,0.846,0,0.01,8.85030358587391e-09,8.45101045786417e-11
1,2,0.5,256,16,8192,0.0001,21,1,8,3.68271612049098,3.68271611905143,1.43954492770604e-09,2.25,2.25,0,0.001,5.73091430031375e-12,6.89460096295616e-13
1,2,0.5,256,16,8192,1e-06,15,1,0,3.68244763490867,3.68244763490867,4.88498130835069e-15,3.189,3.189,0,0.0001,3.01611532110243e-12,3.89574041072515e-12
1,2,0.5,256,16,8192,1e-08,12,1,0,3.68244438671469,3.68244438671469,1.33226762955019e-15,4.125,4.125,0,1e-05,7.11675754260073e-13,5.66274812130847e-13
1,2,0.5,256,16,8192,1e-10,11,1,0,3.68244435273931,3.68244435273931,4.44089209850063e-15,4.812,4.812,0,1e-06,3.80362306095713e-13,1.55523841545751e-15
1,2,0.5,256,16,8192,1e-12,10,1,0,3.68244435165904,3.68244435165904,2.66453525910038e-15,4.812,4.812,0,1e-07,4.85278006751606e-11,1.64954923236824e-11
1,2,0.5,512,32,32768,0.01,16,1,0,3.74384709875797,3.74384709875797,8.88178419700125e-16,0.798,0.798,0,0.01,6.45795673353178e-08,9.04820088797225e-11
1,2,0.5,512,32,32768,0.0001,20,1,8,3.72389539543954,3.72389540015911,4.71957051217942e-09,2.25,2.25,0,0.001,2.0072044186035e-09,4.86299839379871e-11
1,2,0.5,512,32,32768,1e-06,15,1,0,3.72362975414368,3.72362975414368,1.33226762955019e-15,3.234,3.234,0,0.0001,4.3412743264815e-11,4.85943478824954e-12
1,2,0.5,512,32,32768,1e-08,12,1,0,3.72362637070489,3.72362637070489,2.22044604925031e-15,4.125,4.125,0,1e-05,1.38743945030553e-10,6.86765036465365e-11
1,2,0.5,512,32,32768,1e-10,11,1,0,3.72362633695527,3.72362633695527,1.77635683940025e-15,4.812,4.812,0,1e-06,3.95066309047911e-12,2.06756845888848e-12
1,2,0.5,512,32,32768,1e-12,10,1,0,3.72362633510354,3.72362633510354,4.88498130835069e-15,4.812,4.812,0,1e-07,5.18776524140815e-11,2.75477312087724e-11
1,1,1,64,4,512,0.01,15,1,0,1.7347297404495,1.7347297404495,1.55431223447522e-15,0,0,0,0.01,6.50475495949515e-14,7.76161908743536e-16
1,1,1,64,4,512,0.0001,15,1,0,1.70906972735221,1.70906972735221,3.33066907387547e-15,1.128,1.128,2.22044604925031e-16,0.001,3.2895212170319e-13,4.8985035592561e-13
1,1,1,64,4,512,1e-06,13,1,0,1.70873934926641,1.70873934926641,6.66133814775094e-16,1.878,1.878,2.22044604925031e-16,0.0001,6.68381149157336e-14,7.18827716992279e-16
1,1,1,64,4,512,1e-08,10,1,0,1.70873532543118,1.70873532543118,4.44089209850063e-16,2.628,2.628,0,1e-05,1.39087277214469e-13,1.61732191365196e-11
1,1,1,64,4,512,1e-10,10,1,0,1.70873527974976,1.70873527974976,1.77635683940025e-15,3.75,3.75,0,1e-06,6.2365801413908e-14,4.75568987384909e-13
1,1,1,64,4,512,1e-12,9,1,0,1.7087352792438,1.7087352792438,3.77475828372553e-15,4.5,4.5,0,1e-07,6.81504990825993e-14,1.92047487267434e-13
1,1,1,128,8,2048,0.01,15,1,0,2.0135703671933,2.0135703671933,3.10862446895044e-15,0,0,0,0.01,6.47289250736531e-12,3.70921376449644e-13
1,1,1,128,8,2048,0.0001,15,1,0,1.98729715410032,1.98729715410032,4.88498130835069e-15,0.939,0.939,1.11022302462516e-16,0.001,4.60172274867466e-11,1.48532496643589e-11
1,1,1,128,8,2048,1e-06,14,1,0,1.98695722973102,1.98695722973102,2.88657986402541e-15,1.689,1.689,0,0.0001,4.45746734183887e-12,8.27144153109433e-12
1,1,1,128,8,2048,1e-08,11,1,0,1.98695243439938,1.98695243439938,6.66133814775094e-16,2.439,2.439,0,1e-05,9.76676848828963e-13,2.27586904570077e-12
1,1,1,128,8,2048,1e-10,10,1,0,1.9869523787087,1.9869523787087,3.77475828372553e-15,3.375,3.375,0,1e-06,1.2769268602166e-12,6.13127812765478e-11
1,1,1,128,8,2048,1e-12,9,1,0,1.9869523781036,1.9869523781036,3.33066907387547e-15,4.125,4.125,0,1e-07,1.02162580101558e-13,6.87801480108278e-12
1,1,1,256,16,8192,0.01,15,1,0,2.12198923036769,2.12198923036769,1.33226762955019e-15,0,0,0,0.01,9.20489623109158e-12,1.78326188747283e-13
1,1,1,256,16,8192,0.0001,15,1,0,2.09376044771701,2.09376044771701,4.88498130835069e-15,0.753,0.753,0,0.001,6.18666056168442e-10,4.66051971451621e-11
1,1,1,256,16,8192,1e-06,14,1,0,2.09339019481488,2.09339019481488,1.77635683940025e-15,1.689,1.689,0,0.0001,2.15041183967326e-12,1.98144231657715e-12
1,1,1,256,16,8192,1e-08,12,1,0,2.09338486431435,2.09338486431435,3.5527136788005e-15,2.346,2.346,0,1e-05,1.0421050131066e-12,1.50862288937958e-11
1,1,1,256,16,8192,1e-10,10,1,0,2.09338475833972,2.09338475833972,4.44089209850063e-15,3.189,3.189,0,1e-06,1.04086696912538e-12,8.54524268993419e-11
1,1,1,256,16,8192,1e-12,10,1,0,2.093384756885,2.093384756885,3.5527136788005e-15,3.939,3.939,0,1e-07,2.35240547046791e-13,3.69509716563396e-11
1,1,1,512,32,32768,0.01,15,1,0,2.15252574628844,2.15252574628844,3.5527136788005e-15,0,0,0,0.01,3.97912760616184e-10,7.687344966842e-13
1,1,1,512,32,32768,0.0001,15,1,0,2.12426372263804,2.12426372263804,2.66453525910038e-15,0.795,0.795,0,0.001,2.87000022740317e-09,8.37724274724252e-11
1,1,1,512,32,32768,1e-06,14,1,0,2.12389137096753,2.12389137096753,1.77635683940025e-15,1.596,1.596,0,0.0001,2.56491941384482e-10,1.72381411635868e-11
1,1,1,512,32,32768,1e-08,12,1,0,2.12388647383117,2.12388647383117,4.44089209850063e-15,2.343,2.343,0,1e-05,4.09670727267651e-12,6.08921964418518e-12
1,1,1,512,32,32768,1e-10,10,1,0,2.12388641004911,2.12388641004911,2.22044604925031e-15,3.093,3.093,0,1e-06,2.35349781711885e-11,9.91707507977697e-11
1,1,1,512,32,32768,1e-12,10,1,0,2.12388641081981,2.12388641081981,1.77635683940025e-15,3.843,3.843,0,1e-07,1.54205472709999e-13,3.13087957145211e-12
