delta,radius,steepness,mesh_nx,mesh_nz,elements,smoothing,iterations,converged,backtracks,pmax,cavity,cavity_threshold,central_path_error,relative_residual
1,2,0.5,64,4,512,0.01,16,1,0,3.02979869032002,0.756,0.01,2.39608192228319e-13,1.23520626440474e-13
1,2,0.5,64,4,512,0.0001,17,1,0,3.01132792323621,2.253,0.001,2.52278004962472e-13,4.3318280436665e-14
1,2,0.5,64,4,512,1e-06,12,1,0,3.01110942124689,3.378,0.0001,2.99931058097167e-13,3.33191168827867e-11
1,2,0.5,64,4,512,1e-08,9,1,0,3.0111071331517,4.128,1e-05,2.63982057268485e-13,2.54943427613114e-12
1,2,0.5,64,4,512,1e-10,9,1,0,3.01110711022764,4.998,1e-06,1.97182311262858e-13,1.18123876434119e-15
1,2,0.5,64,4,512,1e-12,8,1,0,3.0111071081254,4.998,1e-07,9.96478213462305e-11,4.23783627088824e-11
1,2,0.5,128,8,2048,0.01,16,1,0,3.54576529257652,0.753,0.01,1.0715743233204e-09,5.01415291392803e-11
1,2,0.5,128,8,2048,0.0001,17,1,0,3.52601925325599,2.253,0.001,1.48053667887957e-12,1.20834401118508e-12
1,2,0.5,128,8,2048,1e-06,15,1,0,3.52576630139789,3.189,0.0001,3.1622742754048e-13,1.98109161416997e-15
1,2,0.5,128,8,2048,1e-08,12,1,0,3.52576350449039,4.128,1e-05,3.145333535042e-13,8.25028088394898e-16
1,2,0.5,128,8,2048,1e-10,10,1,0,3.52576347640601,4.812,1e-06,3.43901933474695e-13,8.27159925644853e-16
1,2,0.5,128,8,2048,1e-12,9,1,0,3.52576347391337,4.812,1e-07,8.21365773784019e-11,6.10235603172389e-11
1,2,0.5,256,16,8192,0.01,16,1,0,3.70262539991969,0.846,0.01,8.85030358587391e-09,8.45101045786417e-11
1,2,0.5,256,16,8192,0.0001,18,1,0,3.68271611905143,2.25,0.001,1.44172407649157e-10,1.73461034171296e-11
1,2,0.5,256,16,8192,1e-06,15,1,0,3.68244763490867,3.189,0.0001,3.01611532110243e-12,3.89574041072515e-12
1,2,0.5,256,16,8192,1e-08,12,1,0,3.68244438671469,4.125,1e-05,7.11675754260073e-13,5.66274812130847e-13
1,2,0.5,256,16,8192,1e-10,11,1,0,3.68244435273931,4.812,1e-06,3.80362306095713e-13,1.55523841545751e-15
1,2,0.5,256,16,8192,1e-12,10,1,0,3.68244435165904,4.812,1e-07,4.85278006751606e-11,1.64954923236824e-11
1,2,0.5,512,32,32768,0.01,16,1,0,3.74384709875797,0.798,0.01,6.45795673353178e-08,9.04820088797225e-11
1,2,0.5,512,32,32768,0.0001,18,1,0,3.72389540015911,2.25,0.001,3.52597639164627e-11,8.53061555700376e-13
1,2,0.5,512,32,32768,1e-06,15,1,0,3.72362975414368,3.234,0.0001,4.3412743264815e-11,4.85943478824954e-12
1,2,0.5,512,32,32768,1e-08,12,1,0,3.72362637070489,4.125,1e-05,1.38743945030553e-10,6.86765036465365e-11
1,2,0.5,512,32,32768,1e-10,11,1,0,3.72362633695527,4.812,1e-06,3.95066309047911e-12,2.06756845888848e-12
1,2,0.5,512,32,32768,1e-12,10,1,0,3.72362633510354,4.812,1e-07,5.18776524140815e-11,2.75477312087724e-11
1,1,1,64,4,512,0.01,15,1,0,1.7347297404495,0,0.01,6.50475495949515e-14,7.76161908743536e-16
1,1,1,64,4,512,0.0001,15,1,0,1.70906972735221,1.128,0.001,3.2895212170319e-13,4.8985035592561e-13
1,1,1,64,4,512,1e-06,13,1,0,1.70873934926641,1.878,0.0001,6.68381149157336e-14,7.18827716992279e-16
1,1,1,64,4,512,1e-08,10,1,0,1.70873532543118,2.628,1e-05,1.39087277214469e-13,1.61732191365196e-11
1,1,1,64,4,512,1e-10,10,1,0,1.70873527974976,3.75,1e-06,6.2365801413908e-14,4.75568987384909e-13
1,1,1,64,4,512,1e-12,9,1,0,1.7087352792438,4.5,1e-07,6.81504990825993e-14,1.92047487267434e-13
1,1,1,128,8,2048,0.01,15,1,0,2.0135703671933,0,0.01,6.47289250736531e-12,3.70921376449644e-13
1,1,1,128,8,2048,0.0001,15,1,0,1.98729715410032,0.939,0.001,4.60172274867466e-11,1.48532496643589e-11
